NAME,NAME_EN,AMENITY,SHOP,OSM_TYPE,OSM_ID,longitude,latitude
Свети Дух,,restaurant,,node,1708814410,23.3413192,42.8010457
,,cafe,,node,1708814531,23.340983,42.800469
,,cafe,,node,1708820367,23.3537333,42.8207843
The Jungle,,restaurant,,node,1729012422,23.3034418,42.7343234
Елей,,cafe,,node,1745952618,23.3113229,42.6910501
Пица Италия,,restaurant,,node,1745952633,23.3116791,42.6915322
Starbucks,,cafe,,node,1756103897,23.3313399,42.6898714
Дивака,Divaka,restaurant,,node,1761486865,23.3211447,42.6930679
Franco's pizza,,restaurant,,node,1780967291,23.3370891,42.6912812
Coffee Break,,cafe,,node,1839699597,23.328809,42.696383
Happy Bar & Grill,Happy Bar & Grill,restaurant,,node,1854248338,23.3206155,42.6965736
RE Club,,cafe,,node,1854248352,23.3303604,42.696832
Златните мостове,Golden Bridges,restaurant,,node,1875929108,23.2391396,42.6102936
Essentiel,,restaurant,,node,1888443489,23.3361659,42.6919434
Aladin Foods,,fast_food,,node,1888449789,23.249753,42.7163426
Yalta Club,,bar,,node,1893263782,23.3336374,42.6928125
,,restaurant,,node,1929699681,23.463714,42.6633251
4ourbar,,restaurant,,node,1972946601,23.3691278,42.6211464
Коловоз 41,,pub,,node,2009733498,23.35192,42.6951706
McDonald's,,fast_food,,node,2093880915,23.3343332,42.6929085
KFC,,fast_food,,node,2093880916,23.318074,42.6974165
McDonald's,,fast_food,,node,2093888650,23.3210026,42.694786
KFC,,fast_food,,node,2093888651,23.322416,42.6940296
Restaurant 507,,restaurant,,node,2099470956,23.3278448,42.6201159
Umamido,,restaurant,,node,2126133009,23.3248762,42.6926459
Veda House,,cafe,,node,2132609030,23.3150892,42.6922471
Еленска механа,,restaurant,,node,2136603950,23.3326436,42.6492106
Кара Иван,,restaurant,,node,2136761965,23.3170494,42.6940184
Green Deli Cafe,,cafe,,node,2183556550,23.3528551,42.6702445
,,cafe,,node,2187684660,23.2909661,42.7071382
,,restaurant,,node,2188486269,23.2908974,42.7061393
,,fast_food,,node,2188508392,23.2936815,42.705876
Fiore 21,,restaurant,,node,2188508440,23.293825,42.70574
Дюнер Рафи,,fast_food,,node,2188508459,23.2937673,42.7058277
Чайка,,restaurant,,node,2188508511,23.2936439,42.7049964
Confetti,,restaurant,,node,2196164951,23.3221121,42.6942233
Тон Шин Юан,,restaurant,,node,2210481935,23.2920749,42.6943589
,,cafe,,node,2217959498,23.2880278,42.7164647
Yugo,,cafe,,node,2235021867,23.3295873,42.698403
Рибс енд Стикс,,restaurant,,node,2235021892,23.3563181,42.6847682
Totem,,restaurant,,node,2286581421,23.364433,42.6689551
GyroLand,,fast_food,,node,2302289458,23.3428677,42.6533075
Храна за офиса и дома,,fast_food,,node,2306189839,23.3113867,42.7117879
кафе клуб,,cafe,,node,2306231309,23.2869645,42.6999142
Лазарин,,cafe,,node,2306231317,23.2868169,42.6998275
Пицария Кери,,restaurant,,node,2308763568,23.2486651,42.7128131
Nourish Well,,fast_food,,node,2324139313,23.3847678,42.6475715
Mr. Pizza,,restaurant,,node,2325107691,23.3196827,42.6657973
Пицария Адоро,Adoro Pizza,restaurant,,node,2362566023,23.2931405,42.6771665
Saloon,,restaurant,,node,2367192925,23.2008345,42.7229476
Ecstacy,,cafe,,node,2375386094,23.307152,42.69171
,,fast_food,,node,2375387687,23.30977,42.692877
Мън Фу Юен,Meng Fu Yuan,restaurant,,node,2375390456,23.2951018,42.6705255
Пей сърце,,restaurant,,node,2378134892,23.3063954,42.6860804
,,fast_food,,node,2378141388,23.3023299,42.6844701
Шънг Лунг,,restaurant,,node,2380000408,23.3050707,42.6969582
Carre,,restaurant,,node,2380870010,23.348855,42.6630089
McDonald's,,fast_food,,node,2385940961,23.3793732,42.6617115
Rosso Fiore,,restaurant,,node,2413627163,23.2919644,42.6740101
Petru's,,restaurant,,node,2417955440,23.3291117,42.6777913
,,cafe,,node,2417963767,23.3455913,42.6624482
Стария чинар,,restaurant,,node,2424462366,23.3366681,42.6991505
Happy Bar & Grill,,restaurant,,node,2452545460,23.2815474,42.6668977
,,cafe,,node,2460528163,23.2702745,42.65462
При Доктора,,fast_food,,node,2471907920,23.3379605,42.7004057
Club 303,,bar,,node,2498853744,23.2395698,42.6869936
,,cafe,,node,2498881392,23.2396034,42.6857278
Спортела,,restaurant,,node,2498912423,23.2481154,42.689738
Фантазия,,restaurant,,node,2498920432,23.2388436,42.6868324
100 грама сладки,,cafe,,node,2530751004,23.3585528,42.6929539
Старата къща,,restaurant,,node,2533674608,23.3571614,42.6935293
,,fast_food,,node,2537905387,23.3567193,42.6951725
Quickly cafe,,cafe,,node,2539606805,23.3564829,42.6956759
,,restaurant,,node,2539607185,23.3565395,42.6955323
